КАЗАНЬ,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,новая цена,,цена,закуп
,,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,,,,,цена,закуп
"Спиртной напиток ромовый КУЛ СКЕЛЕТОН КОКОС 37,5% 0,7Л",1950,"кб, бристоль",700,,,,,,,,,,,
"Спиртной напиток ромовый КУЛ СКЕЛЕТОН МАНГО МАРАКУЙЯ 37,5% 0,7Л",1950,"кб, бристоль",700,,,,,,,,,,,
"Ром Мама Джама Блэк выдержанный 0,7 л",2040,,750,,,,,,,,,,1400,1050
"Ром Блэк Пирл Дарк 0,7 л",2490,,1000,,,,,,,,,,1900,1000
"Набор коктейль ОАКХАРТ ОРИДЖИНАЛ СПАЙСД ГОЛД С РОМОМ 35% П/УП. 0,7Л + RICH COLA 2ШТ
",2500,"бристоль,кб",1000,,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,7",2850,,1200,,,,,,,,,,1900,1000
"Ром Блэк Пирл Уайт 0,7 л",3020,,1300,,,,,,,,,,2000,1300
"Ром КАПИТАН МОРГАН ПРЯНЫЙ ЗОЛОТОЙ 35% 0,7Л",3390,,1500,,,,,,,,,,2500,1300
"Ром БАРСЕЛО АНЬЕХО ВЫДЕРЖАННЫЙ 37,5-40% ТЕМН. 0,7Л ",3480,,1550,,,,,,,,,2300,1300,
"Ром Контрабандо 5 лет 0,7 л",4650,,2200,,,,,,,,,4499,2400,
"Ром Бругал Аньехо Супериор 0,7 л",4820,,2300,,,,,,,,,3100,2500,
"Ром Закапа Юбилейный 23 года п/к 0,7 л",13260,,7000,,,,,,,,,,8600,7150
"Ром выдержанный РИВЬЕР ДЮ МАТ ХО 42% П/УП. 0,7Л",10220,нет,5300,,,,,,,,,,6400,3000
"Ром выдержанный РИВЬЕР ДЮ МАТ ВИНТАЖНЫЙ 43% П/УП. 0,7Л",12730,нет,6700,,,,,,,,,,7500,6300
"Ром КАПИТАН МОРГАН ТЕМН. 40% 0,7Л",,нет,нет,,,,,,,,,,3200,1890
"Спиртной напиток КАПИТАН МОРГАН ТРОПИКАЛ 25% 0,7Л",3990,нет,2000,,,,,,,,,,2400,1000
,,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,,,,,,цена,закуп
"Коктейль Альта Коста Сильвер с текилой 0,5 л",1520,,460,,,,,,,,,,1200,400
"Спиртной напиток ФАНТАСМА 40% 0,5Л",1680,бристоль,550,,,,,,,,,,1400,500
"Текила ИНДИАНА СИЛЬВЕР 33-35% 0,7Л",3390,бристоль,1500,,,,,,,,,,2300,1250
"Текила ИНДИАНА ГОЛД 35% 0,7Л",3390,бристоль,1500,,,,,,,,,,2300,1250
"Текила Хосе Куэрво Репосадо 0,7 л",5180,,2500,,,,,,,,,,3000,2400
"Текила Эсполон Бланко 0,75 л",6080,,3000,,,,,,,,,,3800,2600
"Текила Эсполон Репосадо 0,75 л",6080,,3000,,,,,,,,,,3800,2550
"Спиртной напиток ТЕКИЛА ГОЛД ЛА МИСЬОН ДЕЛЬ СИГЛО 21 40% 0,75Л",,нет,нет,,,,,,,,,,2800,2000
"Спиртной напиток ТЕКИЛА СИЛЬВЕР ЛА МИСЬОН ДЕЛЬ СИГЛО 21 40% 0,75Л",,нет,нет,,,,,,,,,,2900,2100
,,,,,,,,,,,,,,
ДЖИН,новая цена,Наличие,New,,,,,,,,,,цена,закуп
"Джин ГИБСОН'С ЛОНДОН ДРАЙ 37,5% 0,7Л",2850,"мало, бристоль",1200,,,,,,,,,,1900,890
"Джин Гордонс лондонский сухой 0,7",4650,,2200,,,,,,,,,,2800,1800
"Спиртной напиток на основе джина ГОРДОНС ПИНК 37,5% 0,7Л",5890,"мало, бристоль",2900,,,,,,,,,,3000,2000
"Джин Финч Мэджик Аладдин 0,5 л",,нет,нет,,,,,,,,,,1200,560
