СОЧИ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,,
"Ром БАРСЕЛО АНЬЕХО ВЫДЕРЖАННЫЙ 37,5-40% ТЕМН. 0,7Л",3650,,1550,,,,,,2200,1150,,,,,
Контрабандо 5 лет 0.7л,4660,,2100,,,,,,,,,3799,1670,,
"Ром Бругал Аньехо Супериор 0,7 л",5390,,2490,,,,,,,,,2490,,5900,
"Ром Ботран №8 Ризерва Классика 40% п/к 0,7 л",5600,,2600,,,,,,,,,,2900,,
"Ром Matusalem Solera 7 лет, 0.7л",5970,,2800,,,,,,,,,,,,
"Ром Закапа XO п/к 0,7 л",24060,,12500,,,,,,,,,12000,,8500,
"Ром выдержанный Гавана Клуб Аньехо 3 года 0,7 л",5040,нет,2300,,,,,,,,,1800,,5600,
"Напиток спиртной Капитан Морган Пряный Золотой  0,7 л",,нет в наличии,1800,,,,,,,,,1800,,7900,
,,,,,,,,,,,,,,25000,
ТЕКИЛА,новая цена,Наличие,New,,,,,,,,,закуп,,25000,
"Коктейль Альта Коста Сильвер с текилой 0,5 л",1680,,500,,,,,,,,,400,,26000,
"Текила Ранчо Вьехо Сильвер 0,7 л",3170,мало,1300,,,,,,,,,1100,,26500,
"Текила Хосе Куэрво Репосадо 0,7 л",5790,мало,2700,,,,,,,,,2300,,цена,
"Текила ЭСПОЛОН БЛАНКО 40% 0,75Л",6350,,3000,,,,,,,,,2590,,1500,
"Текила ЭСПОЛОН РЕСПОРАДО 40% 0,75Л	",6350,,3000,,,,,,,,,2600,,1300,
"Текила Хосе Куэрво Эспесиаль Сильвер 0,7 л",,нет в наличии,2700,,,,,,,,,1800,,,
"Текила Ла Тременда 0,7 л",,нет в наличии,нет,,,,,,,,,990,,1600,
,,,,,,,,,,,,,,1900,
ДЖИН,новая цена,Наличие,New,,,,,,,,,закуп,,1900,
"Джин Фримен Классик\Пинк 0,5 л",1440,,370,,,,,,,,,350,,3400,
"Джин Барристер Драй 0,7 л",2060,,700,,,,,,,,,690,,3200,
"Джин Гордонс лондонский сухой 0,7",4860,,2200,,,,,,,,,1900,,14000,
"Джин Битли Ботаникал\классик лондон драй\Слое 0,5 л ",,,нет,,,,,,,,,690,,2600,
,,,,,,,,,,,,,,,
ЛИКЕР,новая цена,Наличие,New,,,,,,,,,закуп,,цена,
"Ликер Оранго Биттер 0,5 л",1610,,460,,,,,,,,,460,,1500,
"Ликер Найт Габриелло Амаретто 0,5 л",2060,,700,,,,,,,,,700,,2400,
"Ликер Старейшина Альпин Хани 0,5 л",2240,,800,,,,,,,,,600,,3600,
"Настойка Абсент Абсолвент горькая 0,5 л",3720,,1590,,,,,,,,,1500,,3700,
"Напиток спирт. Апероль (аперитив) 0,7 л",4110,,1800,,,,,,,,,1490,,4000,
"Ликер десертный Кампари (аперитив) 0,75 л",4480,,2000,,,,,,,,,1890,,4000,
"Ликер Куантро крепкий 0,7 л",5040,очень мало,2300,,,,,,,,,2000,,2100,
"Ликер десертный Ягермайстер 0,7",5230,,2400,,,,,,,,,1500,,,
"Ликер Baron Roussac Irish Cream сливочный 0,5 л",,нет,нет,,,,,,,,,550,,цена,
"Ликер крепкий Самбука Мотичелли 0,5",,нет,нет,,,,,,,,,450,,1400,
Ликер Найт Габриэлло Лимончелло 0.5 л,,нет,нет,,,,,,,,,750,,1700,
,,,,,,,,,,,,,,2500,
"ПРОСЕККО, БРЮТ",новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,1500,
"Вино игристое Российское Премиум белое брют 0,75 л",1200,,240,Россия,Белые сорта винограда,11,,,,,,240,,,
