КРАСНОДАР,новая цена,Наличие,New,страна,сорт винограда,крепость,,,цена,закуп,,,
"Коньяк Фазерс Олд Баррель не менее 5 лет 0,5 л",2090,,720,бристоль,,,,,1400,600,,,
"Коньяк Фанагория 5 лет 0,5 л",2150,,750,,,,,,1300,610,,,
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2300,,830,,,,,,1600,740,,,
"Коньяк Старейшина 5 лет 0,5",2430,,900,,,,,,1500,740,,,
"Коньяк Ной Традиционный 5 лет 0,5",2610,,1000,,,,,,1700,850,,,
Коньяк Старейшина 7 лет 0.5,2610,,1000,,,,,,1900,770,,,
"Коньяк Армянский Арарат 5 лет п/к 0,5",3170,,1300,,,,,,2000,1200,,,
Бренди Торрес 10 лет Гран Резерва 0.5  ,3550,,1500,,,,,,2200,1500,,,
"Бренди Делор Фрер V.S. 0,5 л",3730,,1600,,,,,,2600,1600,,,
"Коньяк МАРТЕЛЬ ЭЙДЖД ИН РЕД БАРРЕЛС ВСОП 4 ГОДА 40% 0,5Л",8220,,4000,,,,,,4900,3900,,,
Коньяк А.де Фуссиньи ХО п/к 0.5 ,15670,,8000,,,,,,7900,7000,,,
,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,,цена,закуп,,,
"Кальвадос Дюк Де Норманди ВС п/к 0,7 л",5420,,2500,,,,,,3000,2200,,,
"Бренди Делор Фрер V.S.O.P. п/к 0,7 л",5790,,2700,,,,,,3600,2700,,,
"Коньяк Готье ВСОП п/к 0,7 л",8220,,4000,,,,,,4500,3450,,,
"Бренди Делор Фрер X.O. п/к 0,7 л",8770,,4300,,,,,,5100,2900,,,
"Коньяк СЕН КЛО XO в п/к 0,7 л",11000,,5500,,,,,,9500,?,,,
"Коньяк ординарный ХЕННЕССИ ВС 40% П/УП. 0,7Л",11940,,6000,,,,,,6300,4800,,,
"Коньяк ординарный ХЕННЕССИ ВСОП ПРИВИЛЕЖ 4 ГОДА 40% П/УП. 0,7Л",17540,,9000,бристоль,,,,,1100,9000,,,
"Коньяк КУРВУАЗЬЕ ХО 40% П/УП. 0,7Л ",39920,,21000,,,,,,24000,16900,,,
"Коньяк РЕМИ МАРТАН ХО 40% П/УП. 0,7Л",45530,очень мало ,24000,бристоль,,,,,26000,24000,,,
"Коньяк КУРВУАЗЬЕ ФОНТЕНБЛО КАСКС 3 ГОДА 40% П/УП. 0,7Л",,нет,нет,,,,,,6500,4000,,,
,,,,,,,,,,,,,
РОМ 0.5л,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Капитан Жан Лафитт дарк 0,5 л",1680,,500,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2430,,900,,,,,,1600,800,,,
,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,цена,закуп,,,
"Ром Мама Джама Блэк выдержанный 0,7 л",2060,,700,,,,,,,,,1599,799
"Ром Блэк Пирл Дарк 0,7 л",2610,,1000,,,,,,1900,1000,,,
"Ром Блэк Пирл Уайт 0,7 л",2610,,1000,,,,,,1900,1000,,,
"Набор Оакхарт Ориджинал Спайс Голд+2 банки Rich Cola 0,7 л",2810,,1100,,,,,,,,,2699,1000
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,7",2990,,1200,,,,,,1900,1000,,,
"Ром выдержанный Сангсом в п/к 0,7 л",3170,,1300,,,,,,,,,,
"Напиток спиртной Капитан Морган Пряный Золотой  0,7 л",3550,мало,1500,,,,,,2400,1350,,,
"Ром БАРСЕЛО АНЬЕХО ВЫДЕРЖАННЫЙ 37,5-40% ТЕМН. 0,7Л",3650,,1550,,,,,,2200,1150,,,
Контрабандо 5 лет 0.7л,4660,,2100,,,,,,,,,3799,1670
