ПЕРМЬ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,цена,закуп,
"Коньяк армянский очень старый ОС НАИРИ 20 ЛЕТ 40% П/УП. 0,5Л ",,нет,5600,бристоль,,,,,,,6300,5600,
"Коньяк армянский выдержанныйАНИ  КВ 40% П/УП. 0,5Л",,нет,нет,,,,,,,,2600,1560,
,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,,,,цена,закуп,
"Коньяк Готье ВСОП п/к 0,7 л",10270,,5100,,,,,,,,4600,5100,
"Коньяк КУРВУАЗЬЕ ВС 40% П/УП. 0,7Л ",10450,,5200,,,,,,,,6000,5200,
"Коньяк КУРВУАЗЬЕ ВСОП 40% П/УП. 0,7Л ",11940,,6000,,,,,,,,7500,6000,
"Коньяк КУРВУАЗЬЕ ХО 40% П/УП. 0,7Л",39920,,21000,,,,,,,,20000,19900,
"Коньяк ординарный ХЕННЕССИ ВСОП ПРИВИЛЕЖ 4 ГОДА 40% П/УП. 0,7Л",,нет,9000,,,,,,,,11500,9000,
"Коньяк КУРВУАЗЬЕ ФОНТЕНБЛО КАСКС 3 ГОДА 40% П/УП. 0,7Л ",,нет,нет,,,,,,,,7900,4000,
"Коньяк РЕМИ МАРТАН ХО 40% П/УП. 0,7Л ",,нет,нет,,,,,,,,24000,22100,
,,,,,,,,,,,,,
РОМ 0.5л,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Капитан Жан Лафитт дарк 0,5 л",1780,,550,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2430,,900,,,,,,,,1600,800,
,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,,,цена,закуп,
"Ром Мама Джама Блэк выдержанный 0,7 л",2030,,690,,,,,,,,,1599,799
"Ром Блэк Пирл Дарк 0,7 л",2610,,1000,,,,,,,,1900,1000,
"Набор Оакхарт Ориджинал Спайс Голд+2 банки Rich Cola 0,7 л",2810,,1100,,,,,,,,,2699,1000
"Ром Блэк Пирл Уайт 0,7 л",2970,,1190,,,,,,,,1900,1190,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,7",2990,,1200,,,,,,,,1900,1050,
"Ром выдержанный Сангсом в п/к 0,7 л",3170,,1300,,,,,,,,,,
"Ром БАРСЕЛО АНЬЕХО ВЫДЕРЖАННЫЙ 37,5-40% ТЕМН. 0,7Л ",3170,,1300,,,,,,,,2400,1200,
Контрабандо 5 лет 0.7л,4660,"кб, лента",2100,,,,,,,,,3799,1670
"Ром Бругал Аньехо Супериор 0,7 л",5040,,2300,,,,,,,,3200,2300,
"Ром Ботран №8 Ризерва Классика 40% п/к 0,7 л",5600,,2600,,,,,,,,,,2900
"Ром Matusalem Solera 7 лет, 0.7л",5970,,2800,,,,,,,,,,
"Ром Закапа XO п/к 0,7 л",21280,,11000,,,,,,,,11500,10400,
"Спиртной напиток на основе рома ДЭД МЭН’С ФИНГЕРС ПРЯНЫЙ РОМ 37,5% 0,7Л",3300,нет,1600,,,,,,,,2600,1600,
"Ром ГАВАНА КЛУБ ОРИДЖИНАЛ АНЬЕХО 3 ГОДА БЕЛ. 0,7Л ",3990,нет,2000,,,,,,,,3500,2000,
"Ром КАПИТАН МОРГАН  40% 0,7Л ",,нет,нет,,,,,,,,3300,2200,
"Ром выдержанный БАРСЕЛО ДОРАДО 37,5-40% 0,7Л ",,нет,нет,,,,,,,,2300,1100,
"Ром КАПИТАН МОРГАН ЧЕРНЫЙ ПРЯНЫЙ 40% 0,7Л ",,нет,нет,,,,,,,,3500,2600,
,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,,,,цена,закуп,
"ТЕКИЛА ИНДИАНА ГОЛД 0,7Л ",3550,,1500,бристоль,,,,,,,2300,1300,
"Текила Хосе Куэрво Репосадо 0,7 л",5040,,2300,,,,,,,,3500,2300,
"Текила Хосе Куэрво Эспесиаль Сильвер 0,7 л",5970,,2800,,,,,,,,3400,2800,
