Нижний Новгород,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2470,,920,Италия,Ува Лонганези,"13,5",,,,,,,,,,,,,,,,1900,,900
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2570,,970,Германия,Пино Нуар,"12,5",,,,,,,,,,,,,,,,2000,,950
"Вино Кьянти Ризерва красное полусухое 0,75 л",2610,,1000,Италия,Санджовезе\Мерло,13,,,,,,,,,,,,,,,,2000,,950
"Вино Баррелая красное полусухое 0,75 л",2650,,1020,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,,,,,,,,,,,2100,,1000
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",2990,,1200,Италия,Монтепульчано,"13,5",,,,,,,,,,,,,,,,2200,,1100
"Вино Неро ди Тройя красное полусухое 0,75 л",2990,,1200,Италия,Неро ди Троя,15,,,,,,,,,,,,,,,,2200,,1200
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3170,,1300,Италия,Сузуманьелло,"14,5",,,,,,,,,,,,,,,,2300,,1300
Вино ВайНот?! IGP красное полусухое,3370,,1400,Италия,Зинфандель,15,,,,,,,,,,,,,,,,2500,,1400
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет в наличии,ЮАР,Пинотаж,"13,5",,,,,,,,,,,,,,,,1400,,570
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет в наличии,Италия,Санджовезе\Мерло,"13,5",,,,,,,,,,,,,,,,1500,,500
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет в наличии,Франция,Пино Нуар,14,,,,,,,,,,,,,,,,1800,,850
,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
"Водка Тундра Аутентик 0,5",1470,,390,,,,,,,,,,,,,,,,,,,1100,,390
"Водка Зимняя деревенька на солодовом спирте 0,5",1470,бристоль,390,,,,,,,,,,,,,,,,,,,1100,,360
"Водка Белая Березка 0,5",1600,,450,,,,,,,,,,,,,,,,,,,1200,,420
"Водка Русский Стандарт Голд 0,5",1670,,490,,,,,,,,,,,,,,,,,,,1200,,450
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2610,,1000,,,,,,,,,,,,,,,,,,,1800,,1000
Водка Чистые росы 0.5 ,3170,,1300,,,,,,,,,,,,,,,,,,,2500,,1150
"Водка Белуга Нобл 0,5 л",3270,,1350,,,,,,,,,,,,,,,,,,,2300,,1100
,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
"Водка Тундра Аутентик 0,7",1670,,490,,,,,,,,,,,,,,,,,,,1300,,450
"Водка Зимняя Деревенька на солодовом спирте  0,7",1670,,490,,,,,,,,,,,,,,,,,,,1300,,490
"Водка Пять Озер 0,7",1710,,510,,,,,,,,,,,,,,,,,,,1300,,460
"Водка Белая Березка  0,7",1890,,610,,,,,,,,,,,,,,,,,,,1400,,590
"Водка Русский Стандарт  0,7",1950,,640,,,,,,,,,,,,,,,,,,,1400,,640
Водка Чистые росы 0.7 ,3730,,1600,,,,,,,,,,,,,,,,,,,2700,,1400
"Водка Финляндия 0,7 л",3920,,1700,,,,,,,,,,,,,,,,,,,2900,,1590
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л ",4020,,1750,,,,,,,,,,,,,,,,,,,2700,,990
"Водка Суммум 0,7 л",4110,,1800,,,,,,,,,,,,,,,,,,,3000,,1700
,,,,,,,,,,,,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
Водка Белая Березка 1Л,2320,,840,,,,,,,,,,,,,,,,,,,1500,,780
Водка Зимняя Деревенька на солодовом спирте 1л,2430,бристоль,900,,,,,,,,,,,,,,,,,,,1500,,900
Водка Русский Стандарт 1л ,2430,,900,,,,,,,,,,,,,,,,,,,1600,,830
Водка Медведь 1 л,2520,,950,,,,,,,,,,,,,,,,,,,1900,,900
,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
"Виски Наки Томпсон 3 года купажированный 0,5",2430,,900,,,,,,,,,,,,,,,,,,,1500,,780
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2430,,900,,,,,,,,,,,,,,,,,,,2000,,900
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2610,,1000,,,,,,,,,,,,,,,,,,,1600,,900
"Виски бурбон ДЖИМ БИМ 4 ГОДА БЕЛ. ЭТИК. 0,5Л ",,,нет в наличии,,,,,,,,,,,,,,,,,,,2600,,2100
"Виски шотландский МАКАЛЛАН Трипл КАСК  12 ЛЕТ П/УП. 0,5Л",,,нет в наличии,,,,,,,,,,,,,,,,,,,13000,,10000
,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2430,,900,,,,,,,,,,,,,,,,,,,1400,,650
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2990,,1200,,,,,,,,,,,,,,,,,,,1800,,1190
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3170,,1300,,,,,,,,,,,,,,,,,,,1900,,899
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3170,,1300,,,,,,,,,,,,,,,,,,,2400,,1050
Виски Джонни Уоккер Ред 0.7л,3170,мало,1300,,,,,,,,,,,,,,,,,,,2900,,1299
"Виски бурбон ДЖИМ БИМ 4 ГОДА 40% 0,7Л ",4860,,2200,,,,,,,,,,,,,,,,,,,2800,,2200
Виски Теннесси Джек Дениел`с 0.7л,5420,,2500,,,,,,,,,,,,,,,,,,,2900,,1800
Виски ирланский Поугс медовый (оранжевый) 0.7л,5420,,2500,,,,,,,,,,,,,,,,,,,3200,,2470
"Виски шотландский ГЛЕН ПАРКЕР СПЕЙСАЙД 3 ГОДА П/УП. 0,7Л",5600,бристоль,2600,,,,,,,,,,,,,,,,,,,3600,,2500
Виски ирланский Поугс оригинальный (черный) 0.7л,5790,бристоль,2700,,,,,,,,,,,,,,,,,,,3000,,2600
"Виски ирландский купажированный ДЖЕМЕСОН 40% 0,7Л ",5880,,2750,,,,,,,,,,,,,,,,,,,3500,,2700
"Виски купажированный ХАТОЗАКИ 3 ГОДА 40% 0,7Л ",6910,бристоль,3300,,,,,,,,,,,,,,,,,,,4000,,3300
"Виски шотландский ЧИВАС РИГАЛ 12 ЛЕТ 40%  0,7Л ",8220,бристоль,4000,,,,,,,,,,,,,,,,,,,5500,,3700
"Виски шотландский ЧИВАС РИГАЛ 18 ЛЕТ 40% П/УП. 0,7Л ",20520,,10600,,,,,,,,,,,,,,,,,,,12500,,7999
"Виски шотландский МАКАЛЛАН Дабл КАСК  12 ЛЕТ П/УП. 0,7Л ",28730,,15000,,,,,,,,,,,,,,,,,,,15000,,10500
"Виски Баллантайнс Файнест не менее 3 лет купажир. 0,7 л",,нет,1700,,,,,,,,,,,,,,,,,,,3600,,1600
Виски ирланский Поугс фруктовая мята и лайм (красный) 0.7л,,нет,нет в наличии,,,,,,,,,,,,,,,,,,,3000,,1900
Виски Джонни Блонде 0.7л,,нет,нет в наличии,,,,,,,,,,,,,,,,,,,2800,,2250
Виски шотландский ЧИВАС РИГАЛ 12 ЛЕТ 40% П/УП. 1Л ,,нет,нет в наличии,,,,,,,,,,,,,,,,,,,6900,,5900
"Виски шотландский МАКАЛЛАН Дабл КАСК  3года  П/УП. 0,7Л ",,нет,нет в наличии,,,,,,,,,,,,,,,,,,,13000,,11200
,,,,,,,,,,,,,,,,,,,,,,,,
ВИСКИ 1л,новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
Виски Баллантайнс Файнест 1 л,5040,,2300,,,,,,,,,,,,,,,,,,,3700,,1600
Виски Джим Бим 1 л,5040,,2300,,,,,,,,,,,,,,,,,,,4000,,2200
Виски Теннесси Джек Дениел`с 1 л,9150,,4500,,,,,,,,,,,,,,,,,,,3900,,2100
Виски ирландский БУШМИЛЗ ОРИДЖИНАЛ 3 ГОДА 1Л ,,нет,нет в наличии,,,,,,,,,,,,,,,,,,,3200,,2000
,,,,,,,,,,,,,,,,,,,,,,,,
"КОНЬЯК 0,5л",новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
"Коньяк ординарный Армянский Коньяк 5 лет 0,5 л",2060,,700,,,,,,,,,,,,,,,,,,,1200,,560
"Коньяк Кочари 5 лет 0,5",2060,,700,,,,,,,,,,,,,,,,,,,1400,,680
"Коньяк Фанагория 5 лет 0,5 л",2150,,750,,,,,,,,,,,,,,,,,,,1300,,610
"Коньяк Старейшина 5 лет 0,5",2200,,780,,,,,,,,,,,,,,,,,,,1500,,740
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2300,,830,,,,,,,,,,,,,,,,,,,1600,,740
"Коньяк Ной Традиционный 5 лет 0,5",2370,,870,,,,,,,,,,,,,,,,,,,1700,,850
Коньяк Старейшина 7 лет 0.5,2810,,1100,,,,,,,,,,,,,,,,,,,1800,,770
"Коньяк Армянский Арарат 5 лет п/к 0,5 ",3170,,1300,,,,,,,,,,,,,,,,,,,2000,,1200
Бренди Торрес 5 лет Гран Резерва 0.5,3370,,1400,,,,,,,,,,,,,,,,,,,2200,,940
"Коньяк А.ДЕ Фуссиньи Селексьон Коллексьон туба 0,5 л",5790,,2700,,,,,,,,,,,,,,,,,,,3300,,2700
"Коньяк КУРВУАЗЬЕ ВСОП 40% П/УП. 0,5Л ",9150,,4500,,,,,,,,,,,,,,,,,,,5700,,4500
"Коньяк А.де Фуссиньи ХО п/к 0,5 л",15670,,8000,,,,,,,,,,,,,,,,,,,8500,,7000
"Коньяк МАРТЕЛЬ ЭЙДЖД ИН РЕД БАРРЕЛС ВСОП 4 ГОДА 40% 0,5Л",,нет,не продается,,,,,,,,,,,,,,,,,,,5000,,4300
"Коньяк РЕМИ МАРТАН ВСОП 40% 0,5Л ",,нет,не продается,,,,,,,,,,,,,,,,,,,5400,,?
,,,,,,,,,,,,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,закуп
"Коньяк Готье ВСОП п/к 0,7 л",8580,,4200,,,,,,,,,,,,,,,,,,,5600,,4130
"Коньяк ординарный МАРТЕЛЬ ВС 3 ГОДА 40% 0,7Л",8870,,4350,,,,,,,,,,,,,,,,,,,6500,,4040
"Коньяк КУРВУАЗЬЕ ВС 40% П/УП. 0,7Л ",11940,,6000,,,,,,,,,,,,,,,,,,,7500,,6000
"Коньяк ординарный ХЕННЕССИ ВС 40% П/УП. 0,7Л",11940,МАЛО,6000,,,,,,,,,,,,,,,,,,,6700,,5500
"Коньяк ординарный ХЕННЕССИ ВСОП ПРИВИЛЕЖ 4 ГОДА 40% П/УП. 0,7Л",17540,,9000,,,,,,,,,,,,,,,,,,,12000,,9000
"Коньяк РЕМ МАРТАН ХО 40% П/УП. 0,7Л ",38060,,20000,,,,,,,,,,,,,,,,,,,25000,,20000
"Коньяк КУРВУАЗЬЕ ХО 40% П/УП. 0,7Л ",40860,МАЛО,21500,,,,,,,,,,,,,,,,,,,24000,,21500
"Коньяк РЕМИ МАРТАН ВСОП 40% 0,7Л",,нет,6000,,,,,,,,,,,,,,,,,,,8800,,6000
,,,,,,,,,,,,,,,,,,,,,,,,
РОМ 0.5л,новая цена,Наличие,New,,,,,,,,,цена,закуп,,,,,,,,,,,
"Ром Капитан Жан Лафитт дарк 0,5 л",1680,,500,,,,,,,,,,,,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2430,,900,,,,,,,,,,,,,,,,,,,1700,,799
,,,,,,,,,,,,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,,,,,,,цена,,запук
