ОМСК,,,,,,,,,,,,,закуп
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,400
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3230,,1330,Италия,Сузуманьелло,"14,5",,,,,,2300,1500
Вино ВайНот?! IGP красное полусухое,3550,,1500,Италия,Зинфандель,15,,,,,,2500,880
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,1800,нет в наличии
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1400,нет в наличии
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1670,,490,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1750,,540,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2190,,770,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,340
"Водка Зимняя деревенька на солодовом спирте 0,5",1550,бристоль,430,,,,,,,,,1100,379
"Водка ТАЛКА 40% 0,5Л",1500,,400,,,,,,,,,1299,390
"Водка Тундра Аутентик 0,5",1570,,440,,,,,,,,,1100,380
"Водка ХАСКИ АРКТИК АЙС 40% 0,5Л",1630,,470,,,,,,,,,1349,450
"Водка Русский Стандарт Голд 0,5",1680,,500,,,,,,,,,1200,430
"Водка Белая Березка 0,5",1780,,550,,,,,,,,,1200,490
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2710,,1050,,,,,,,,,1800,900
"Водка Чистые росы 0,5 ",2990,бристоль,1200,,,,,,,,,2500,1150
"Водка Белуга Нобл 0,5 л",4110,кб ,1800,,,,,,,,,2300,1350
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,340
"Водка Зимняя Деревенька на солодовом спирте  0,7",1810,,570,,,,,,,,,1300,460
"Водка Пять Озер 0,7",1910,,620,,,,,,,,,1200,460
"Водка Тундра Аутентик 0,7",1880,,600,,,,,,,,,1300,490
"Водка ХАСКИ 40% 0,7Л",1960,,650,,,,,,,,,1599,590
"Водка Белая Березка  0,7",2150,,750,,,,,,,,,1300,620
"Водка Дикий мед классика туба 0,7 л",2060,,700,,,,,,,,,1699,620
"Водка Русский Стандарт  0,7",2060,,700,,,,,,,,,1400,749
"Водка Белуга Трансатлантик Рейсинг 0,7 л",3920,,1700,,,,,,,,,2700,1100
"Водка Онегин 0,7 л",3170,,1300,,,,,,,,,3199,1150
"Водка Чистые росы 0,7 ",4110,,1800,,,,,,,,,2700,1700
"Водка Суммум 0,7 л",4110,,1800,,,,,,,,,3000,14000
"Водка ФИНЛЯНДИЯ 40% 0,7Л",4110,,1800,,,,,,,,,2900,
"Водка Грей Гуз 0,7 л",7280,кб ,3500,,,,,,,,,4999,нет в наличии
"Водка АБСОЛЮТ 40% 0,7Л ",,нет,нет,,,,,,,,,3000,
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,340
Водка Зимняя Деревенька на солодовом спирте 1л,2240,бристоль,800,,,,,,,,,1500,830
Водка Русский Стандарт 1л,2470,,920,,,,,,,,,1600,760
Водка Белая Березка 1Л,2520,,950,,,,,,,,,1500,1050
Водка Медведь 1 л,2780,,1090,,,,,,,,,1800,970
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,490
"Напиток спиртной зерновой купажированный Нобл Стаг Спайсд 0,5 л",1740,,530,,,,,,,,,1400,490
"Виски купажированный шотландский Нобл Стаг яблоко 0,5 л",1740,,530,,,,,,,,,1599,600
"Виски купажированный шотландский Нобл Стаг 0,5 л",1960,,650,,,,,,,,,1599,770
"Виски Наки Томпсон 3 года купажированный 0,5",2320,,840,,,,,,,,,1500,750
"Виски шотландский ВИЛЬЯМ ЛОУСОНС 40% 0,5Л",2610,,1000,,,,,,,,,1700,1150
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2610,,1000,,,,,,,,,2000,1050
"Виски бурбон ДЖИМ БИМ 4 ГОДА БЕЛ. ЭТИК. 40% 0,5Л ",5230,,2400,,,,,,,,,2900,2399
"Виски МАКАЛЛАН ТРИПЛ КАСК 12 ЛЕТ ОДНОСОЛОД. 40% П/УП. 0,5Л",,нет,нет,,,,,,,,,13000,6900
,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,490
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2410,,890,,,,,,,,,1500,690
"Виски Наки Томпсон 3 года купажированный 0,7",2810,,1100,,,,,,,,,1700,1140
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2990,,1200,,,,,,,,,2499,840
"Виски шотландский ВИЛЬЯМ ЛОУСОНС 40% 0,7Л",3170,,1300,,,,,,,,,1900,1250
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3170,,1300,,,,,,,,,2400,1490
"Виски Дюарс Уайт Лейбл 3 года 0,7 л",3730,,1600,,,,,,,,,2799,1500
"Виски зерновой БУРБОН ДЖИМ БИМ 40% 0,7Л",4110,,1800,,,,,,,,,3100,1890
"Виски Дюарс Португиз Смуз 8 лет шотландский купажированный 0,7 л",4300,,1900,,,,,,,,,3399,1450
"Виски Баллантайнс Файнест 0,7Л ",4480,,2000,,,,,,,,,3700,1900
"Виски Джонни Уокер Рэд Лейбл 0,7 л",4860,,2200,,,,,,,,,2699,2999
"Виски Джим Бим Эппл 0,7 л",5030,,2290,,,,,,,,,3399,1890
"Спиртной напиток на основе виски ДЖЕМЕСОН АПЕЛЬСИН 30% 0,7Л",5040,,2300,,,,,,,,,3200,2100
"Виски купажированный Инаизуми п/к 0,7 л",5420,,2500,,,,,,,,,5399,2600
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ХАНИ ЛИКЕР 35% 0,7Л",5600,бристоль,2600,,,,,,,,,3999,1890
Виски Теннесси Джек Дениел`с 0.7 л,6150,,2900,,,,,,,,,3000,2600
"Виски зерновой ДЖЕК ДЭНИЕЛС ТЭННЕССИ ВИСКИ 40% 0,7Л",6150,,2900,,,,,,,,,3800,2890
"Нап.спиртной Джим Бим Пич 0,7 л",6150,,2900,,,,,,,,,3399,2600
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ яблоко 35% 0,7Л",6280,,2960,,,,,,,,,3999,3000
"Виски Гранжстоун бурбон каск финиш п/к 0,7 л",6350,,3000,,,,,,,,,5999,2800
"Виски ДЖИМ БИМ РЭД СТАГ БЛЭК ЧЕРРИ 4 ГОДА  0,7Л",6350,,3000,,,,,,,,,3399,2030
"Виски ирландский купажированный ДЖЕМЕСОН 40% 0,7Л ",6350,,3000,,,,,,,,,3600,2500
"Виски шотл. купаж. ДЖОННИ УОКЕР БЛЭК ЛЕЙБЛ 12 ЛЕТ 40% (П/УП./) 0,7",6730,бристоль,3200,,,,,,,,,5499,3450
"Виски Дюарс Спешиал Резерв 12 лет шотландский купажированный 0,7 л",8020,,3900,,,,,,,,,5299,2690
"Виски купажированный ХАТОЗАКИ 3 ГОДА 40% 0,7Л ",8220,бристоль,4000,,,,,,,,,4100,3299
"Виски шотландский купажированный ЧИВАС РИГАЛ 12 ЛЕТ П/УП. 0,7Л",8220,,4000,,,,,,,,,5700,6400
"Виски Аберлауэр не менее 12 лет п/к 0,7 л",13250,,6700,,,,,,,,,9500,8500
"Виски шотландский ЧИВАС РИГАЛ 18 ЛЕТ 40% П/УП. 0,7Л",16610,,8500,,,,,,,,,12000,10700
"Виски шотландский МАКАЛЛАН ДАБЛ КАСК 12 ЛЕТ П/УП. 0,7Л",25000,,13000,,,,,,,,,14500,1300
Виски ирланский Поугс оригинальный (черный) 0.7л,,нет,1900,,,,,,,,,3299,1600
"Виски Балвэни Даблвуд 12 лет п/к 0,7 л",,нет,нет,,,,,,,,,11999,6900
"Виски Чивас Ригал 15 лет шотландский купажированный 0,75 л",,нет,нет,,,,,,,,,10999,6300
"Виски шотландский МАКАЛЛАН ДАБЛ КАСК ГОЛД 3 ГОДА  П/УП. 0,7Л",,нет,нет,,,,,,,,,14000,нет в наличии
Виски ирланский Поугс фруктовая мята и лайм (красный) 0.7л,,нет,нет,,,,,,,,,3000,нет в наличии
Виски ирланский Поугс медовый (оранжевый) 0.7л,,нет,нет,,,,,,,,,3200,нет в наличии
"Виски шотландский МАКАЛЛАН ДАБЛ КАСК 15 ЛЕТ П/УП. 0,7Л",,нет,нет,,,,,,,,,19000,
,,,,,,,,,,,,,
ВИСКИ 1л,новая цена,Наличие,New,,,,,,,,,цена,490
Виски Джонни Уоккер Ред Лейбл 1л,5230,мало,2400,,,,,,,,,3100,2100
Виски Джим Бим 1 л,6350,,3000,,,,,,,,,4000,2999
Виски Теннесси Джек Дениел`с 1 л,8220,,4000,,,,,,,,,3900,3499
Виски шотландский купажированный ЧИВАС РИГАЛ 12 ЛЕТ П/УП.1,,нет,нет,,,,,,,,,6800,6000
,,,,,,,,,,,,,
"КОНЬЯК 0,5л",новая цена,Наличие,New,,,,,,,,,цена,560
"Коньяк ординарный Армянский Коньяк 5 лет 0,5 л",1980,,660,,,,,,,,,1200,540
Бренди Кизлярский Молодой 0.5л,2060,,700,,,,,,,,,1499,650
"Коньяк Кочари 5 лет 0,5",2060,,700,,,,,,,,,1400,560
"Коньяк Фазерс Олд Баррель не менее 5 лет 0,5 л",2090,бристоль,720,,,,,,,,,1300,650
"Коньяк Фанагория 5 лет 0,5 л",2150,,750,,,,,,,,,1300,750
"Коньяк Старейшина 5 лет 0,5",2270,,820,,,,,,,,,1500,700
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2300,,830,,,,,,,,,1600,900
Коньяк Старейшина 7 лет 0.5,2610,,1000,,,,,,,,,1900,900
"Коньяк Ной Традиционный 5 лет 0,5",2610,,1000,,,,,,,,,1700,1200
