САМАРА,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
Водка Зимняя Деревенька на солодовом спирте 1л,2240,бристоль,800,,,,,700,,,,,,,,,,,1500,,,,,,,,,,,,,
Водка Белая Березка 1Л,2340,,850,,,,,760,,,,,,,,,,,1500,,,,,,,,,,,,,
Водка Русский Стандарт 1л,2470,,920,,,,,830,,,,,,,,,,,1600,,,,,,,,,,,,,
Водка Медведь 1 л,2780,,1090,,,,,900,,,,,,,,,,,2099,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Напиток спиртной зерновой купажированный Нобл Стаг Спайсд 0,5 л",1880,,600,,,,,600,,,,,,,,,,,1200,,,,,,,,,,,,,
"Виски купажированный шотландский Нобл Стаг яблоко 0,5 л",2050,,600,,,,,560,,,,,,,,,,,1599,,,,,,,,,,,,,
"Виски купажированный шотландский Нобл Стаг 0,5 л",2040,,650,,,,,620,,,,,,,,,,,1599,,,,,,,,,,,,,
"Виски Наки Томпсон 3 года купажированный 0,5",2320,,840,,,,,720,,,,,,,,,,,1600,,,,,,,,,,,,,
"Виски шотландский ВИЛЬЯМ ЛОУСОНС 40% 0,5Л",2610,,1000,,,,,780,,,,,,,,,,,1600,,,,,,,,,,,,,
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2610,,1000,,,,,900,,,,,,,,,,,2000,,,,,,,,,,,,,
"Виски ДЖИМ БИМ РЭД СТАГ БЛЭК ЧЕРРИ 4 ГОДА  0,5Л",,нет,нет,,,,,нет в наличии,,,,,,,,,,,2899,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2270,,820,,,,,690,,,,,,,,,,,1400,,,,,,,,,,,,,
"Виски Наки Томпсон 3 года купажированный 0,7",2810,,1100,,,,,945,,,,,,,,,,,1800,,,,,,,,,,,,,
"Виски купажированный шотландский Сир Эдвардс 0,7 л",3140,,1200,,,,,1190,,,,,,,,,,,2499,,,,,,,,,,,,,
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3170,,1300,,,,,1150,,,,,,,,,,,1900,,,,,,,,,,,,,
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3170,,1300,,,,,1050,,,,,,,,,,,2400,,,,,,,,,,,,,
"Виски Джонни Уокер Рэд Лейбл не менее 3 лет купажир. 0,7 л",3780,,1400,,,,,1299,,,,,,,,,,,3000,,,,,,,,,,,,,
"Виски Дюарс Уайт Лейбл 3 года 0,7 л",3550,,1500,,,,,1300,,,,,,,,,,,2799,,,,,,,,,,,,,
"Виски зерновой БУРБОН ДЖИМ БИМ 40% 0,75Л",4110,,1800,,,,,1490,,,,,,,,,,,3100,,,,,,,,,,,,,
"Виски шотландский БАЛЛАНТАЙНС ФАЙНЕСТ 40% 0,7Л ",4480,,2000,,,,,2190,,,,,,,,,,,3600,,,,,,,,,,,,,
"Виски Джек Дэниел`с Теннесси 0,7 ",4870,,2000,,,,,1820,,,,,,,,,,,3899,,,,,,,,,,,,,
"Виски купажированный Инаизуми п/к 0,7 л",6880,,2200,,,,,2180,,,,,,,,,,,5399,,,,,,,,,,,,,
"Виски Дюарс Португиз Смуз 8 лет шотландский купажированный 0,7 л",5040,,2300,,,,,1700,,,,,,,,,,,3399,,,,,,,,,,,,,
